iter	Passed	Remaining
0	203	203327
1	210	105210
2	230	76656
3	234	58294
4	242	48345
5	247	40985
6	249	35391
7	266	33088
8	268	29580
9	289	28708
10	291	26208
11	292	24082
12	294	22370
13	299	21085
14	313	20575
15	315	19421
16	318	18444
17	321	17551
18	324	16743
19	326	15989
20	327	15279
21	331	14733
22	334	14197
23	338	13759
24	340	13298
25	342	12831
26	345	12456
27	347	12048
28	348	11664
29	349	11315
30	351	11001
31	353	10680
32	354	10393
33	356	10127
34	357	9865
35	358	9605
36	359	9369
37	362	9165
38	363	8954
39	364	8753
40	366	8567
41	367	8393
42	369	8222
43	373	8124
44	377	8002
45	379	7860
46	380	7711
47	392	7787
48	398	7725
49	399	7591
50	401	7467
51	404	7374
52	406	7256
53	407	7144
54	410	7048
55	412	6955
56	414	6852
57	415	6756
58	417	6655
59	418	6557
60	420	6468
61	425	6440
62	431	6412
63	433	6333
64	434	6254
65	436	6178
66	438	6102
67	440	6032
68	442	5967
69	443	5890
70	444	5813
71	445	5739
72	446	5674
73	448	5606
74	449	5549
75	451	5484
76	454	5442
77	455	5382
78	456	5320
79	457	5262
80	458	5207
81	460	5151
82	460	5091
83	462	5038
84	463	4988
85	464	4941
86	466	4896
87	468	4850
88	469	4805
89	470	4756
90	472	4717
91	473	4672
92	474	4626
93	475	4585
94	476	4543
95	478	4501
96	479	4460
97	480	4419
98	481	4379
99	482	4339
100	483	4304
101	484	4265
102	485	4227
103	486	4193
104	488	4162
105	489	4132
106	490	4097
107	492	4064
108	493	4032
109	495	4009
110	497	3982
111	499	3956
112	500	3929
113	503	3913
114	504	3885
115	507	3863
116	508	3834
117	509	3806
118	510	3780
119	511	3751
120	512	3724
121	513	3698
122	514	3671
123	515	3644
124	517	3623
125	518	3598
126	519	3573
127	520	3546
128	521	3523
129	523	3500
130	526	3493
131	527	3470
132	529	3449
133	530	3431
134	532	3411
135	533	3389
136	534	3366
137	535	3347
138	537	3328
139	538	3305
140	539	3285
141	540	3263
142	541	3242
143	542	3224
144	544	3208
145	547	3205
146	550	3192
147	552	3180
148	553	3162
149	555	3145
150	556	3126
151	557	3107
152	562	3116
153	565	3104
154	566	3087
155	576	3117
156	578	3108
157	582	3106
158	585	3097
159	587	3083
160	588	3065
161	590	3052
162	592	3040
163	593	3025
164	596	3017
165	597	3003
166	600	2993
167	602	2982
168	605	2975
169	608	2972
170	616	2990
171	618	2979
172	623	2979
173	625	2967
174	628	2960
175	629	2949
176	632	2942
177	634	2930
178	635	2916
179	637	2906
180	640	2899
181	642	2886
182	645	2881
183	647	2869
184	648	2855
185	655	2866
186	657	2858
187	660	2853
188	661	2840
189	664	2831
190	665	2818
191	667	2808
192	669	2800
193	671	2787
194	672	2775
195	673	2761
196	675	2752
197	676	2740
198	677	2728
199	678	2714
200	679	2702
201	681	2692
202	682	2680
203	684	2670
204	685	2659
205	688	2652
206	689	2640
207	691	2632
208	692	2622
209	695	2615
210	696	2603
211	697	2592
212	699	2585
213	701	2577
214	703	2567
215	705	2559
216	706	2549
217	707	2539
218	708	2528
219	710	2517
220	715	2521
221	718	2516
222	723	2521
223	733	2542
224	738	2543
225	741	2538
226	743	2530
227	744	2522
228	746	2512
229	747	2502
230	749	2495
231	751	2487
232	752	2478
233	755	2474
234	761	2479
235	763	2470
236	764	2461
237	767	2455
238	768	2445
239	772	2447
240	775	2442
241	779	2440
242	782	2437
243	784	2429
244	785	2421
245	787	2413
246	788	2405
247	792	2402
248	795	2397
249	796	2389
250	801	2390
251	802	2383
252	806	2379
253	807	2371
254	808	2363
255	811	2357
256	815	2356
257	817	2350
258	819	2343
259	821	2338
260	823	2331
261	824	2322
262	825	2313
263	827	2305
264	828	2297
265	830	2290
266	831	2281
267	835	2280
268	837	2275
269	840	2271
